Date,Type,Dead,Injured,Location(s),Details,Perpetrator,Image
2017-10-31,Vehicle-ramming attack,8,11,"New York City, New York","2017 New York City truck attack: On October 31, 2017, an ISIS-inspired man drove a rented Home Depot flatbed pickup truck in a vehicle-ramming attack on cyclists and runners along 1 mile (1.6 km) of a bike path alongside West Street in Lower Manhattan, killing eight people and injuring at least 11 others. The attack took place several blocks north of the National September 11 Memorial & Museum. Authorities found a note near the truck used in the incident which claimed that the attack by the 29-year-old was made in the name of ISIS.[179]",Sayfullo Saipov,NA
2018-01-10,Assassination,1,0,"Orange County, California",Murder of Blaze Bernstein: A 19 year old gay Jewish University of Pennsylvania student named Blaze Bernstein was murdered by Samuel Woodward a former classmate and member of the neo-Nazi terrorist organization Atomwaffen Division.,Samuel Woodward,NA
2018-11-01,Bombing,0,0,Several states,"October 2018 United States mail bombing attempts: In late October 2018, at least 12 packages containing pipe bombs were mailed within the U.S. Postal Service system to several prominent critics of U.S. President Donald Trump, including various Democratic Party politicians (Hillary Clinton, Barack Obama, Joe Biden, Eric Holder, Debbie Wasserman Schultz, Maxine Waters, Cory Booker), actor Robert De Niro, billionaire investor George Soros, former CIA Director John O. Brennan, and former Director of National Intelligence James Clapper.",Cesar Sayoc Jr.,NA
2018-10-24,Shooting,2,0,"Jeffersontown, Kentucky",Jeffersontown Kroger shooting: Gregory A. Bush Killed two African-Americans outside a Kroger grocery store. He also got into a shot out with armed civilian bystanders.,Gregory A. Bush,NA
2018-10-27,Shooting,11,6,"Pittsburgh, Pennsylvania","Pittsburgh synagogue shooting: Robert Bowers committed a mass shooting at the Tree of Life – Or L'Simcha Congregation in the Squirrel Hill neighborhood of Pittsburgh, Pennsylvania on October 27, 2018, while Shabbat morning services were being held. Eleven people were killed and seven were injured. It was the deadliest attack on the Jewish community in the United States.",Robert Bowers,NA
2019-03-24,Arson,0,0,"Escondido, California","California mosque fire: The Dar-ul-Arqam mosque's parking lot was broken into at around 3:15 AM, with the arsonist using a flammable liquid to catch the mosque on fire. Seven people inside the mosque woke up and put out the fire with a fire extinguisher, with no injuries and no major damage. The arsonist left behind graffiti referencing the Christchurch mosque shootings in New Zealand. The gunman who committed the Poway synagogue shooting claimed responsibility for the arson attack in a manifesto.",John T. Earnest,NA
2019-04-27,Shooting,1,3,"Poway, California","Poway synagogue shooting: John T. Earnest, an armed gunman motivated by antisemitism, his belief in the white genocide conspiracy theory, and inspiration by the mosque shootings in Christchurch, New Zealand, and the synagogue shooting in Pittsburgh, Pennsylvania, entered the Chabad of Poway synagogue during Sabbath services and opened fire, killing one and injuring three before fleeing. He was quickly apprehended.",John T. Earnest,NA
2019-07-13,Shooting and bombing,0,0,"Tacoma, Washington","2019 Tacoma attack: Willem van Spronsen attacked a Ice facility with guns and fire bombs, he burned a car and was killed when he attempted to lite a propane tank on fire. His friends described him as a anarchist and anti-fascist.",Willem van Spronsen,NA
2019-08-03,Shooting,23,23,"El Paso, Texas","2019 El Paso shooting: Patrick Crusius of Allen, Texas, an armed gunman inspired by the Christchurch mosque shootings and beliefs in the Great Replacement conspiracy theory and a supposed ""Hispanic invasion of Texas"", attacked a Walmart store, killing 23 people and injuring 23 others.",Patrick Crusius,NA
2019-12-10,Shooting,4,0,Jersey City,"2019 Jersey City shooting: Two people, David Anderson and Francine Graham, members of the Black Hebrew Israelites, killed a police officer in a cemetery. They then attacked a kosher grocery store, killing three. The attack was ended with a prolonged gun battle with police, ending in the death of the two suspects.",David Anderson and Francine Graham,NA
